timer,temp,vibX,vibY,vibZ,magnitude,rms,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:07,29.23,-9.767,-3.648,-1.569,10.544,6.088,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:12,29.37,-9.767,-3.687,-1.491,10.546,6.089,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:19,29.25,-9.767,-3.648,-1.53,10.538,6.084,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:25,29.37,-9.767,-3.648,-1.569,10.544,6.088,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:31,29.49,-9.728,-3.687,-1.569,10.521,6.074,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:39,29.25,-9.767,-3.727,-1.569,10.571,6.103,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:42,29.19,-9.689,-3.687,-1.569,10.485,6.053,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:47,29.23,-9.807,-3.687,-1.451,10.577,6.107,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:53,29.23,-9.728,-3.648,-1.53,10.502,6.063,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:58,29.15,-9.689,-3.687,-1.53,10.479,6.05,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:15,31.11,-9.767,-3.609,-1.569,10.53,6.08,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:21,29.35,-9.728,-3.648,-1.608,10.513,6.07,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:26,29.49,-9.728,-3.648,-1.451,10.491,6.057,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:31,29.77,-9.767,-3.648,-1.569,10.544,6.088,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:37,29.03,-9.728,-3.609,-1.608,10.5,6.062,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:41,28.91,-9.728,-3.648,-1.569,10.508,6.067,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:47,28.91,-9.767,-3.648,-1.53,10.538,6.084,,,,,,,,,,,,,,,,,,,,,
